Sorted BST Insert,Time,Lines,,Sorted AVL Tree Insert,Time,Lines,,Shuffled BST Insert,Time,Lines,,Shuffled AVL Tree Insert,Time,Lines,,Sorted BST Search,Time,Lines,,Sorted AVL Tree Search,Time,Lines,,Shuffled BST Search,Time,Lines,,Shuffled AVL Tree Search,Time,Lines
Sorted BST Insert,563905400,65536,,Sorted AVL Tree Insert,328051900,65536,,Shuffled BST Insert,280050900,65536,,Shuffled AVL Tree Insert,460831800,65536,,Sorted BST Search,5108700,65536,,Sorted AVL Tree Search,254500,65536,,Shuffled BST Search,2862200,65536,,Shuffled AVL Tree Search,323500,65536,,
Sorted BST Insert,473755600,32768,,Sorted AVL Tree Insert,205000700,32768,,Shuffled BST Insert,178764100,32768,,Shuffled AVL Tree Insert,135067100,32768,,Sorted BST Search,1832700,32768,,Sorted AVL Tree Search,229700,32768,,Shuffled BST Search,2676400,32768,,Shuffled AVL Tree Search,506100,32768,,
Sorted BST Insert,152215900,16384,,Sorted AVL Tree Insert,104892000,16384,,Shuffled BST Insert,78979000,16384,,Shuffled AVL Tree Insert,75354800,16384,,Sorted BST Search,591700,16384,,Sorted AVL Tree Search,130500,16384,,Shuffled BST Search,248800,16384,,Shuffled AVL Tree Search,137900,16384,,
Sorted BST Insert,104648900,8192,,Sorted AVL Tree Insert,72702200,8192,,Shuffled BST Insert,49891400,8192,,Shuffled AVL Tree Insert,29574100,8192,,Sorted BST Search,549600,8192,,Sorted AVL Tree Search,102000,8192,,Shuffled BST Search,278700,8192,,Shuffled AVL Tree Search,66600,8192,,
Sorted BST Insert,80240700,4096,,Sorted AVL Tree Insert,33354000,4096,,Shuffled BST Insert,15807300,4096,,Shuffled AVL Tree Insert,15882200,4096,,Sorted BST Search,1667800,4096,,Sorted AVL Tree Search,112700,4096,,Shuffled BST Search,407300,4096,,Shuffled AVL Tree Search,76000,4096,,
Sorted BST Insert,42755200,2048,,Sorted AVL Tree Insert,41499500,2048,,Shuffled BST Insert,12652900,2048,,Shuffled AVL Tree Insert,5625700,2048,,Sorted BST Search,231400,2048,,Sorted AVL Tree Search,94800,2048,,Shuffled BST Search,130800,2048,,Shuffled AVL Tree Search,59500,2048,,
Sorted BST Insert,27672400,1024,,Sorted AVL Tree Insert,18940500,1024,,Shuffled BST Insert,5667400,1024,,Shuffled AVL Tree Insert,3854200,1024,,Sorted BST Search,273100,1024,,Sorted AVL Tree Search,115700,1024,,Shuffled BST Search,162600,1024,,Shuffled AVL Tree Search,67900,1024,,
Sorted BST Insert,24064000,512,,Sorted AVL Tree Insert,11932500,512,,Shuffled BST Insert,3839000,512,,Shuffled AVL Tree Insert,2040000,512,,Sorted BST Search,203000,512,,Sorted AVL Tree Search,125500,512,,Shuffled BST Search,81100,512,,Shuffled AVL Tree Search,70700,512,,
Sorted BST Insert,17133900,256,,Sorted AVL Tree Insert,8372800,256,,Shuffled BST Insert,2507800,256,,Shuffled AVL Tree Insert,1434600,256,,Sorted BST Search,306700,256,,Sorted AVL Tree Search,77500,256,,Shuffled BST Search,189500,256,,Shuffled AVL Tree Search,65100,256,,
Sorted BST Insert,20110000,128,,Sorted AVL Tree Insert,4636100,128,,Shuffled BST Insert,1540000,128,,Shuffled AVL Tree Insert,909500,128,,Sorted BST Search,212900,128,,Sorted AVL Tree Search,103800,128,,Shuffled BST Search,120800,128,,Shuffled AVL Tree Search,63200,128,,
Sorted BST Insert,8629300,64,,Sorted AVL Tree Insert,3181300,64,,Shuffled BST Insert,931800,64,,Shuffled AVL Tree Insert,891500,64,,Sorted BST Search,194900,64,,Sorted AVL Tree Search,86900,64,,Shuffled BST Search,92200,64,,Shuffled AVL Tree Search,68500,64,,
Sorted BST Insert,5606400,32,,Sorted AVL Tree Insert,3177400,32,,Shuffled BST Insert,584200,32,,Shuffled AVL Tree Insert,488500,32,,Sorted BST Search,203600,32,,Sorted AVL Tree Search,82000,32,,Shuffled BST Search,81900,32,,Shuffled AVL Tree Search,69600,32,,
Sorted BST Insert,5383000,16,,Sorted AVL Tree Insert,2361500,16,,Shuffled BST Insert,333600,16,,Shuffled AVL Tree Insert,305100,16,,Sorted BST Search,125900,16,,Sorted AVL Tree Search,116300,16,,Shuffled BST Search,72600,16,,Shuffled AVL Tree Search,99400,16,,
Sorted BST Insert,4662000,8,,Sorted AVL Tree Insert,2004400,8,,Shuffled BST Insert,281600,8,,Shuffled AVL Tree Insert,200100,8,,Sorted BST Search,128400,8,,Sorted AVL Tree Search,351900,8,,Shuffled BST Search,80200,8,,Shuffled AVL Tree Search,70900,8,,
Sorted BST Insert,5186800,4,,Sorted AVL Tree Insert,3246000,4,,Shuffled BST Insert,172500,4,,Shuffled AVL Tree Insert,171100,4,,Sorted BST Search,173800,4,,Sorted AVL Tree Search,176900,4,,Shuffled BST Search,69600,4,,Shuffled AVL Tree Search,75300,4,,
Sorted BST Insert,4257200,2,,Sorted AVL Tree Insert,1760900,2,,Shuffled BST Insert,93300,2,,Shuffled AVL Tree Insert,86000,2,,Sorted BST Search,115600,2,,Sorted AVL Tree Search,100000,2,,Shuffled BST Search,62400,2,,Shuffled AVL Tree Search,66700,2,,
Sorted BST Insert,4409100,1,,Sorted AVL Tree Insert,2030500,1,,Shuffled BST Insert,114500,1,,Shuffled AVL Tree Insert,68200,1,,Sorted BST Search,125700,1,,Sorted AVL Tree Search,111900,1,,Shuffled BST Search,72800,1,,Shuffled AVL Tree Search,74400,1,,